id,category_name,slug,created_at,updated_at
101,T-Shirts,t-shirts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
102,Shirts,shirts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
103,"Blouses & Tops",blouses-tops,"2026-07-25 17:24:08","2026-07-25 17:24:08"
111,Sweaters,sweaters,"2026-07-25 17:24:08","2026-07-25 17:24:08"
121,Jackets,jackets,"2026-07-25 17:24:08","2026-07-25 17:24:08"
122,Coats,coats,"2026-07-25 17:24:08","2026-07-25 17:24:08"
131,"Hoodies & Sweatshirts",hoodies-sweatshirts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
141,Activewear,activewear,"2026-07-25 17:24:08","2026-07-25 17:24:08"
151,"Loungewear & Sleepwear",loungewear-sleepwear,"2026-07-25 17:24:08","2026-07-25 17:24:08"
161,"Underwear & Lingerie",underwear-lingerie,"2026-07-25 17:24:08","2026-07-25 17:24:08"
201,Jeans,jeans,"2026-07-25 17:24:08","2026-07-25 17:24:08"
202,Denim,denim,"2026-07-25 17:24:08","2026-07-25 17:24:08"
211,"Trousers & Pants",trousers-pants,"2026-07-25 17:24:08","2026-07-25 17:24:08"
212,Shorts,shorts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
221,Skirts,skirts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
301,Dresses,dresses,"2026-07-25 17:24:08","2026-07-25 17:24:08"
302,"Jumpsuits & Rompers",jumpsuits-rompers,"2026-07-25 17:24:08","2026-07-25 17:24:08"
401,Shoes,shoes,"2026-07-25 17:24:08","2026-07-25 17:24:08"
402,Sneakers,sneakers,"2026-07-25 17:24:08","2026-07-25 17:24:08"
403,Boots,boots,"2026-07-25 17:24:08","2026-07-25 17:24:08"
404,"Sandals & Slides",sandals-slides,"2026-07-25 17:24:08","2026-07-25 17:24:08"
501,Bags,bags,"2026-07-25 17:24:08","2026-07-25 17:24:08"
502,Accessories,accessories,"2026-07-25 17:24:08","2026-07-25 17:24:08"
503,Jewelry,jewelry,"2026-07-25 17:24:08","2026-07-25 17:24:08"
504,Belts,belts,"2026-07-25 17:24:08","2026-07-25 17:24:08"
505,"Hats & Caps",hats-caps,"2026-07-25 17:24:08","2026-07-25 17:24:08"
601,"Kids' Clothing",kids-clothing,"2026-07-25 17:24:08","2026-07-25 17:24:08"
701,"Plus Size",plus-size,"2026-07-25 17:24:08","2026-07-25 17:24:08"
