id,product_id,field,colour,size,unit_price,stock_quantity,image_url,created_at,updated_at,new_arrival
1,1,"""text text""",white,S,1,5,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
2,2,"""text text""",white,M,1,5,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
3,3,"""text text""",white,L,1,5,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
4,4,"""text text""",white,XL,1,5,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
5,5,"""text text""",Black,S,1,5,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
6,6,"""text text""",Black,M,1,5,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
7,7,"""text text""",Black,L,1,5,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
8,8,"""text text""",Black,XL,1,5,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
9,9,"""text text""",red,S,1,2,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
10,10,"""text text""",red,M,1,2,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
11,11,"""text text""",red,L,1,2,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
12,12,"""text text""",red,XL,1,2,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
13,13,"""text text""",blue,S,1,2,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
14,14,"""text text""",blue,M,1,2,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
15,15,"""text text""",blue,L,1,2,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
16,16,"""text text""",blue,XL,1,2,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
17,17,"""text text""",yellow,S,1,2,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
18,18,"""text text""",yellow,M,1,2,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
19,19,"""text text""",yellow,L,1,2,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
20,20,"""text text""",yellow,XL,1,1,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
21,21,"""text text""",white,S,1,1,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
22,22,"""text text""",white,M,1,1,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
23,23,"""text text""",white,L,1,1,https://images.unsplash.com/photo-1556821840-3a63f95609a7?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
24,24,"""text text""",white,XL,1,1,https://images.unsplash.com/photo-1556821840-3a63f95609a7?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
